,order_id,order_number,posting_number,status,delivery_method_id,delivery_method_name,delivery_method_warehouse_id,delivery_method_warehouse,delivery_method_tpl_provider_id,delivery_method_tpl_provider,addressee,upper_barcode,lower_barcode,cancel_reason_id,in_process_at,products_0_sku,products_0_name,products_0_quantity,products_0_offer_id,products_0_price,analytics_data_region,analytics_data_city,analytics_data_delivery_type,analytics_data_is_premium,analytics_data_payment_type_group_name,analytics_data_warehouse_id,analytics_data_is_legal,commission_amount,commission_percent,payout,product_id,old_price,price,total_discount_value,total_discount_percent,actions,picking,quantity,client_price,item_services_marketplace_service_item_fulfillment,item_services_marketplace_service_item_pickup,item_services_marketplace_service_item_dropoff_pvz,item_services_marketplace_service_item_dropoff_sc,item_services_marketplace_service_item_dropoff_ff,item_services_marketplace_service_item_direct_flow_trans,item_services_marketplace_service_item_return_flow_trans,item_services_marketplace_service_item_deliv_to_customer,item_services_marketplace_service_item_return_not_deliv_to_customer,item_services_marketplace_service_item_return_part_goods_customer,item_services_marketplace_service_item_return_after_deliv_to_customer,user_id,date_load
849,20229887554,58547586-0053,58547586-0053-1,delivering,0,0,0,0,0,0,0,0,0,0,2023-05-29T09:14:34Z,521829167,"Real Caps, Лютеин, 60 капсул",2,0000150_2,331.000000,Москва,Москва,PVZ,False,Картой онлайн,0,False,0.0,0,0.0,521829167,1431.0,331.0,1100,76.87,"['Системная виртуальная скидка селлера', 'Хиты. О!Распродажа', 'Бонус при повторном закупе']",,2,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
850,20282326278,67360902-0084,67360902-0084-1,awaiting_packaging,0,0,0,0,0,0,0,0,0,0,2023-05-29T09:30:40Z,524494248,"Real Caps Масло расторопши  первый холодный отжим, 200  капсул массой 300мг  ",1,а1003850,84.000000,Тверская Область,,PVZ,False,Ozon Карта,0,False,0.0,0,0.0,524494248,629.0,84.0,545,86.65,"['Системная виртуальная скидка селлера', 'Хиты. О!Распродажа', 'Бонус при повторном закупе']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
851,20255871807,58263311-0162,58263311-0162-2,awaiting_packaging,0,0,0,0,0,0,0,0,0,0,2023-05-29T10:19:44Z,550352792,Real Caps Каша льняная натуральная 2 банки по 400 г 100% лен,1,da1003865_1,475.200000,Краснодарский Край,Краснодар,PVZ,False,Картой онлайн,0,False,0.0,0,0.0,550352792,1019.2,475.2,544,53.38,"['Системная виртуальная скидка селлера', 'Хиты. О!Распродажа', 'Бонус при повторном закупе']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
852,20276842595,49826339-0059,49826339-0059-2,delivering,0,0,0,0,0,0,0,0,0,0,2023-05-29T10:31:16Z,523525402,"Real Caps, Витамин Е, dl-альфа-токоферола ацетат, 400 МЕ, 30 капсул, 570 мг",1,a0000285-4,559.000000,Москва,Москва,PVZ,False,Ozon Карта,0,False,0.0,0,0.0,523525402,1229.0,559.0,670,54.52,"['Бонус при повторном закупе', 'Системная виртуальная скидка селлера']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
853,20259910623,0117006959-0037,0117006959-0037-5,awaiting_packaging,0,0,0,0,0,0,0,0,0,0,2023-05-29T10:34:45Z,524494248,"Real Caps Масло расторопши  первый холодный отжим, 200  капсул массой 300мг  ",1,а1003850,199.000000,Краснодарский Край,Сочи,PVZ,True,Ozon Карта,0,False,0.0,0,0.0,524494248,629.0,199.0,430,68.36,"['Системная виртуальная скидка селлера', 'Бонус при повторном закупе']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
854,20299095052,49034172-0935,49034172-0935-1,delivering,0,0,0,0,0,0,0,0,0,0,2023-05-29T10:47:32Z,474836572,"Пояс согревающий,размер XXL/ Пояс из собачьей шерсти MORTEKS  kors /Пояснично-крестцовый",1,a1003717,569.000000,Ростовская Область,Донецк,PVZ,False,Картой онлайн,0,False,0.0,0,0.0,474836572,1199.0,569.0,630,52.54,"['Системная виртуальная скидка селлера', 'Бонус при повторном закупе']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
855,20281681758,79980254-0071,79980254-0071-1,delivering,0,0,0,0,0,0,0,0,0,0,2023-05-29T12:04:31Z,693565265,"Real Caps Цинк+Селен Zn+Se 100 капсул 315мг, повышает сексуальную активность,улучшает память и умственную активность ",1,a1003930,599.000000,Ростовская Область,Ростов-на-Дону,PVZ,False,Ozon Карта,0,False,0.0,0,0.0,693565265,2254.0,599.0,1655,73.43,"['Бонус при повторном закупе', 'Системная виртуальная скидка селлера', 'Хиты. О!Распродажа']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
856,20308195749,19469941-0356,19469941-0356-4,delivering,0,0,0,0,0,0,0,0,0,0,2023-05-29T13:24:35Z,523525402,"Real Caps, Витамин Е, dl-альфа-токоферола ацетат, 400 МЕ, 30 капсул, 570 мг",1,a0000285-4,559.000000,Московская Область,Химки,Courier,False,Картой онлайн,0,False,0.0,0,0.0,523525402,1229.0,559.0,670,54.52,"['Системная виртуальная скидка селлера', 'Бонус при повторном закупе']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
857,20250452306,0124217602-0079,0124217602-0079-1,awaiting_packaging,0,0,0,0,0,0,0,0,0,0,2023-05-29T13:49:46Z,550330337,"Каша льняная натуральная 400 г, 100% лен",1,da1003861_2,300.000000,Башкортостан Республика,,PVZ,False,Ozon Карта,0,False,0.0,0,0.0,550330337,609.0,300.0,309,50.74,"['Бонус при повторном закупе', 'Системная виртуальная скидка селлера', 'Еженедельная акция', 'Хиты. О!Распродажа']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
858,20271584859,32158459-0042,32158459-0042-1,awaiting_packaging,0,0,0,0,0,0,0,0,0,0,2023-05-29T17:02:31Z,523533272,"Real Caps, Витамин D3 (холекальциферол) 600 ME, 60 капсул, 410 мг",1,a0000278,134.000000,Волгоградская Область,Волгоград,PVZ,False,Картой онлайн,0,False,0.0,0,0.0,523533272,829.0,134.0,695,83.84,"['Системная виртуальная скидка селлера', 'Еженедельная акция', 'Хиты. О!Распродажа', 'Бонус при повторном закупе']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
859,20273141999,0122488783-0099,0122488783-0099-3,delivering,0,0,0,0,0,0,0,0,0,0,2023-05-29T17:48:08Z,528091694,ШУНГИТ 500 гр  Очистка воды камнями Фильтр Энергетик Активатор воды Природный целитель,1,a7991,135.000000,Московская Область,Красногорск,Courier,True,Ozon Карта,0,False,0.0,0,0.0,528091694,929.0,135.0,794,85.47,"['Бонус при повторном закупе', 'Системная виртуальная скидка селлера', 'Хиты. О!Распродажа']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
860,20277705515,50288011-0162,50288011-0162-2,delivering,0,0,0,0,0,0,0,0,0,0,2023-05-29T18:20:19Z,474836582,"Пояс согревающий,размер XXL/ Пояс из верблюжьей шерсти  MORTEKS kors /Пояснично-крестцовый ",1,a1003713,599.000000,Пермский Край,Чайковский,PVZ,False,Картой онлайн,0,False,0.0,0,0.0,474836582,1229.0,599.0,630,51.26,"['Системная виртуальная скидка селлера', 'Бонус при повторном закупе']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
861,20297670130,33087618-0190,33087618-0190-5,awaiting_packaging,0,0,0,0,0,0,0,0,0,0,2023-05-29T20:18:52Z,581052390,"Real Caps, Витамин D3, холекальциферол, 1000 МЕ, 570 мг, 90 капсул",1,a1003882,257.000000,Калужская Область,Обнинск,Courier,False,Картой онлайн,0,False,0.0,0,0.0,581052390,1329.0,257.0,1072,80.66,"['Системная виртуальная скидка селлера', 'Еженедельная акция', 'Хиты. О!Распродажа', 'Бонус при повторном закупе']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
862,20284790716,41124556-0012,41124556-0012-1,delivering,0,0,0,0,0,0,0,0,0,0,2023-05-29T20:50:54Z,581052390,"Real Caps, Витамин D3, холекальциферол, 1000 МЕ, 570 мг, 90 капсул",1,a1003882,257.000000,Санкт-Петербург,Санкт-Петербург,PVZ,False,Картой онлайн,0,False,0.0,0,0.0,581052390,1329.0,257.0,1072,80.66,"['Еженедельная акция', 'Хиты. О!Распродажа', 'Бонус при повторном закупе', 'Системная виртуальная скидка селлера']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
863,20350272942,23858046-0106,23858046-0106-3,awaiting_deliver,0,0,0,0,0,0,0,0,0,0,2023-05-30T08:11:27Z,480178414,"Real Caps Рыбий жир для детей КУСАЛОЧКА, жевательные капсулы 500 мг, №60",1,a1002990,428.000000,Москва,Москва,Courier,False,Ozon Карта,0,False,0.0,0,0.0,480178414,1350.0,428.0,922,68.3,"['Еженедельная акция', 'Бонус при повторном закупе', 'Системная виртуальная скидка селлера']",,1,,0,0,0,0.0,0,0,0,0.0,0,0,0,1008,2023-05-31
